n,p,gamma,df,rho,snr,rep,center_X,standardize_X,beta_sparsity,beta_scale,seed,sigma2,empirical_snr,method,mse
200,40,0.2,1.0,0.0,1.0,0,True,True,,1.0,1752012008,10076.025288041987,1.0000000000000004,OLS,73.26272459654756
200,40,0.2,1.0,0.0,1.0,0,True,True,,1.0,1752012008,10076.025288041987,1.0000000000000004,LAD,1.5711692871998368
200,40,0.2,1.0,0.0,1.0,0,True,True,,1.0,1752012008,10076.025288041987,1.0000000000000004,Huber,0.7703893476069342
200,40,0.2,1.0,0.0,1.0,1,True,True,,1.0,1436220750,11335.144627764,1.0000000000000004,OLS,63.81279772239286
200,40,0.2,1.0,0.0,1.0,1,True,True,,1.0,1436220750,11335.144627764,1.0000000000000004,LAD,3.1241472332383564
200,40,0.2,1.0,0.0,1.0,1,True,True,,1.0,1436220750,11335.144627764,1.0000000000000004,Huber,2.0649337812389965
200,40,0.2,1.0,0.0,1.0,2,True,True,,1.0,683625040,6676.162554267219,1.0000000000000002,OLS,41.6580610964067
200,40,0.2,1.0,0.0,1.0,2,True,True,,1.0,683625040,6676.162554267219,1.0000000000000002,LAD,0.70226832727362
200,40,0.2,1.0,0.0,1.0,2,True,True,,1.0,683625040,6676.162554267219,1.0000000000000002,Huber,0.12859261521173262
200,40,0.2,1.0,0.0,1.0,3,True,True,,1.0,536151976,8720.763735810742,0.9999999999999998,OLS,67.04468941705997
200,40,0.2,1.0,0.0,1.0,3,True,True,,1.0,536151976,8720.763735810742,0.9999999999999998,LAD,1.215483471954028
200,40,0.2,1.0,0.0,1.0,3,True,True,,1.0,536151976,8720.763735810742,0.9999999999999998,Huber,0.2891974886424499
200,40,0.2,1.0,0.0,1.0,4,True,True,,1.0,295118706,6645.188885081141,0.9999999999999999,OLS,50.3348917027105
200,40,0.2,1.0,0.0,1.0,4,True,True,,1.0,295118706,6645.188885081141,0.9999999999999999,LAD,0.6166660220290735
200,40,0.2,1.0,0.0,1.0,4,True,True,,1.0,295118706,6645.188885081141,0.9999999999999999,Huber,0.48721409322779596
200,40,0.2,1.0,0.0,1.0,5,True,True,,1.0,1488749818,6406.883115217699,1.0000000000000002,OLS,43.90229436052999
200,40,0.2,1.0,0.0,1.0,5,True,True,,1.0,1488749818,6406.883115217699,1.0000000000000002,LAD,2.7184663486341103
200,40,0.2,1.0,0.0,1.0,5,True,True,,1.0,1488749818,6406.883115217699,1.0000000000000002,Huber,1.8865318752025957
200,40,0.2,1.0,0.0,1.0,6,True,True,,1.0,458006341,8274.566581852552,1.0,OLS,46.22475660651861
200,40,0.2,1.0,0.0,1.0,6,True,True,,1.0,458006341,8274.566581852552,1.0,LAD,3.31326400135111
200,40,0.2,1.0,0.0,1.0,6,True,True,,1.0,458006341,8274.566581852552,1.0,Huber,2.388396802482037
200,40,0.2,1.0,0.0,1.0,7,True,True,,1.0,1097329299,5985.243549752371,1.0000000000000002,OLS,44.9737037499959
200,40,0.2,1.0,0.0,1.0,7,True,True,,1.0,1097329299,5985.243549752371,1.0000000000000002,LAD,3.320392945964798
200,40,0.2,1.0,0.0,1.0,7,True,True,,1.0,1097329299,5985.243549752371,1.0000000000000002,Huber,1.8115595199454404
200,40,0.2,1.0,0.0,1.0,8,True,True,,1.0,1437762035,8205.676468770376,1.0000000000000002,OLS,58.379474268830236
200,40,0.2,1.0,0.0,1.0,8,True,True,,1.0,1437762035,8205.676468770376,1.0000000000000002,LAD,1.0326926812513988
200,40,0.2,1.0,0.0,1.0,8,True,True,,1.0,1437762035,8205.676468770376,1.0000000000000002,Huber,0.8466096151331953
200,40,0.2,1.0,0.0,1.0,9,True,True,,1.0,106376004,6626.123317468006,1.0000000000000007,OLS,39.694651860622386
200,40,0.2,1.0,0.0,1.0,9,True,True,,1.0,106376004,6626.123317468006,1.0000000000000007,LAD,0.4188322491636541
200,40,0.2,1.0,0.0,1.0,9,True,True,,1.0,106376004,6626.123317468006,1.0000000000000007,Huber,0.13800444562768202
200,40,0.2,1.0,0.0,1.0,10,True,True,,1.0,1809044933,7768.5269782932955,1.0,OLS,46.992908204820175
200,40,0.2,1.0,0.0,1.0,10,True,True,,1.0,1809044933,7768.5269782932955,1.0,LAD,1.505771225301093
200,40,0.2,1.0,0.0,1.0,10,True,True,,1.0,1809044933,7768.5269782932955,1.0,Huber,0.7521706934049716
200,40,0.2,1.0,0.0,1.0,11,True,True,,1.0,1612945935,5193.460413660565,1.0000000000000002,OLS,37.16564948635586
200,40,0.2,1.0,0.0,1.0,11,True,True,,1.0,1612945935,5193.460413660565,1.0000000000000002,LAD,1.3476657667003877
200,40,0.2,1.0,0.0,1.0,11,True,True,,1.0,1612945935,5193.460413660565,1.0000000000000002,Huber,1.4376711280083359
200,40,0.2,1.0,0.0,1.0,12,True,True,,1.0,2055013710,4925.124168353608,1.0000000000000004,OLS,39.92890962442535
200,40,0.2,1.0,0.0,1.0,12,True,True,,1.0,2055013710,4925.124168353608,1.0000000000000004,LAD,0.43782683269235123
200,40,0.2,1.0,0.0,1.0,12,True,True,,1.0,2055013710,4925.124168353608,1.0000000000000004,Huber,0.2951410899250367
200,40,0.2,1.0,0.0,1.0,13,True,True,,1.0,1614764050,7069.051575506443,1.0000000000000002,OLS,52.41384819927923
200,40,0.2,1.0,0.0,1.0,13,True,True,,1.0,1614764050,7069.051575506443,1.0000000000000002,LAD,0.7304663605079221
200,40,0.2,1.0,0.0,1.0,13,True,True,,1.0,1614764050,7069.051575506443,1.0000000000000002,Huber,0.18906723062344286
200,40,0.2,1.0,0.0,1.0,14,True,True,,1.0,1254219274,6888.720556162437,1.0000000000000002,OLS,62.19998220473201
200,40,0.2,1.0,0.0,1.0,14,True,True,,1.0,1254219274,6888.720556162437,1.0000000000000002,LAD,0.872382594612073
200,40,0.2,1.0,0.0,1.0,14,True,True,,1.0,1254219274,6888.720556162437,1.0000000000000002,Huber,0.797610144501016
200,40,0.2,1.0,0.0,1.0,15,True,True,,1.0,1583652981,5840.525776389453,0.9999999999999999,OLS,32.70932513777546
200,40,0.2,1.0,0.0,1.0,15,True,True,,1.0,1583652981,5840.525776389453,0.9999999999999999,LAD,0.2479675041839831
200,40,0.2,1.0,0.0,1.0,15,True,True,,1.0,1583652981,5840.525776389453,0.9999999999999999,Huber,0.317473308274897
200,40,0.2,1.0,0.0,1.0,16,True,True,,1.0,1063553491,6289.210005212873,1.0000000000000004,OLS,35.10855917016097
200,40,0.2,1.0,0.0,1.0,16,True,True,,1.0,1063553491,6289.210005212873,1.0000000000000004,LAD,1.0165505688390466
200,40,0.2,1.0,0.0,1.0,16,True,True,,1.0,1063553491,6289.210005212873,1.0000000000000004,Huber,0.7122856814563621
200,40,0.2,1.0,0.0,1.0,17,True,True,,1.0,916300003,9459.119614778007,1.0000000000000002,OLS,54.24058605607563
200,40,0.2,1.0,0.0,1.0,17,True,True,,1.0,916300003,9459.119614778007,1.0000000000000002,LAD,6.895198784507578
200,40,0.2,1.0,0.0,1.0,17,True,True,,1.0,916300003,9459.119614778007,1.0000000000000002,Huber,4.453519600921708
200,40,0.2,1.0,0.0,1.0,18,True,True,,1.0,20143012,9772.200112465764,1.0,OLS,67.27100394474579
200,40,0.2,1.0,0.0,1.0,18,True,True,,1.0,20143012,9772.200112465764,1.0,LAD,1.481441317534089
200,40,0.2,1.0,0.0,1.0,18,True,True,,1.0,20143012,9772.200112465764,1.0,Huber,1.4379271309076276
200,40,0.2,1.0,0.0,1.0,19,True,True,,1.0,1258152813,4571.524398394324,1.0,OLS,36.29751832387983
200,40,0.2,1.0,0.0,1.0,19,True,True,,1.0,1258152813,4571.524398394324,1.0,LAD,0.5781555387641759
200,40,0.2,1.0,0.0,1.0,19,True,True,,1.0,1258152813,4571.524398394324,1.0,Huber,0.3635078540466951
200,40,0.2,1.0,0.0,1.0,20,True,True,,1.0,793651060,5454.685742679906,1.0,OLS,36.01579594226148
200,40,0.2,1.0,0.0,1.0,20,True,True,,1.0,793651060,5454.685742679906,1.0,LAD,1.135857306647478
200,40,0.2,1.0,0.0,1.0,20,True,True,,1.0,793651060,5454.685742679906,1.0,Huber,1.4628106682730073
200,40,0.2,1.0,0.0,1.0,21,True,True,,1.0,1020512833,10447.465744038822,1.0,OLS,78.6739762180333
200,40,0.2,1.0,0.0,1.0,21,True,True,,1.0,1020512833,10447.465744038822,1.0,LAD,0.6096793130169524
200,40,0.2,1.0,0.0,1.0,21,True,True,,1.0,1020512833,10447.465744038822,1.0,Huber,0.6029356102100729
200,40,0.2,1.0,0.0,1.0,22,True,True,,1.0,1766126815,6289.480099538752,1.0000000000000002,OLS,29.473834403660398
200,40,0.2,1.0,0.0,1.0,22,True,True,,1.0,1766126815,6289.480099538752,1.0000000000000002,LAD,2.636884599270687
200,40,0.2,1.0,0.0,1.0,22,True,True,,1.0,1766126815,6289.480099538752,1.0000000000000002,Huber,1.9139052854638283
200,40,0.2,1.0,0.0,1.0,23,True,True,,1.0,1027129865,7374.5419207078285,1.0000000000000002,OLS,39.53723191275226
